6,5.0,Term: Winter 18 | ,Name: CHE        107A            | ,Section: ALL               | ,Instructor: TBD | ,Course ID:                 | ,Optional                 ,PHYSICAL CHEMISTRY F/BIOSCI.-PROB.+SOLN,Author: CHANG         ,Edition: 05     ,Published Date: 2005,ISBN: 9781891389399
7,6.0,Term: Winter 18 | ,Name: CHE        107B            | ,Section: ALL               | ,Instructor: DAVE GOODIN | ,Course ID:                 | ,Required                 ,PHYSICAL CHEMISTRY F/BIOSCI.-PROB.+SOLN,Author: CHANG         ,Edition: 05     ,Published Date: 2005,ISBN: 9781891389399
8,7.0,Term: Winter 18 | ,Name: CHE        107B            | ,Section: ALL               | ,Instructor: DAVE GOODIN | ,Course ID:                 | ,Required                 ,PHYSICAL CHEMISTRY FOR BIOSCIENCES     ,Author: CHANG         ,Edition: 05     ,Published Date: 2005,ISBN: 9781891389337
9,8.0,Term: Winter 18 | ,Name: CHE        110B            | ,Section: ALL               | ,Instructor: KYLE CRABTREE | ,Course ID:                 | ,Required                 ,PHYSICAL CHEMISTRY-2ND+PRINTING        ,Author: MCQUARRIE     ,Edition: 97     ,Published Date: 1997,ISBN: 9780935702996
10,9.0,Term: Winter 18 | ,Name: CHE        110B            | ,Section: ALL               | ,Instructor: KYLE CRABTREE | ,Course ID:                 | ,Required                 ,PHYSICAL CHEMISTRY-PROBLEMS+SOLUTIONS  ,Author: COX           ,Edition: 97     ,Published Date: 1997,ISBN: 9780935702439
11,10.0,Term: Winter 18 | ,Name: CHE        110C            | ,Section: 001               | ,"Instructor: Stuchebrukhov, Alexe | ",Course ID: 46485           | ,Required                 ,PHYSICAL CHEMISTRY-2ND+PRINTING        ,Author: MCQUARRIE     ,Edition: 97     ,Published Date: 1997,ISBN: 9780935702996
12,11.0,Term: Winter 18 | ,Name: CHE        115             | ,Section: ALL               | ,Instructor: TBD | ,Course ID:                 | ,Required                 ,PRIN.OF INSTRUMENTAL ANALYSIS          ,Author: SKOOG         ,Edition: 7TH 18 ,Published Date: 2018,ISBN: 9781305577213
13,12.0,Term: Winter 18 | ,Name: CHE        118A            | ,Section: ALL A             | ,Instructor: SARAH LIEVENS | ,Course ID:                 | ,Required                 ,CHE 118A LAB MANUAL F16                ,Author: NASIRI        ,Edition: ,Published Date: NA,ISBN: 2810050008301
14,13.0,Term: Winter 18 | ,Name: CHE        118A            | ,Section: ALL A             | ,Instructor: SARAH LIEVENS | ,Course ID:                 | ,Optional                 ,POLYHEDRON MOLECULAR...CHEM.BASIC SET  ,Author: FREEMAN       ,Edition: 02     ,Published Date: 2002,ISBN: 9781319120528
15,14.0,Term: Winter 18 | ,Name: CHE        118A            | ,Section: ALL B             | ,Instructor: SCHORE | ,Course ID:                 | ,Required                 ,CHE 118A LAB MANUAL F16                ,Author: NASIRI        ,Edition: ,Published Date: NA,ISBN: 2810050008301
16,15.0,Term: Winter 18 | ,Name: CHE        118A            | ,Section: ALL B             | ,Instructor: SCHORE | ,Course ID:                 | ,Required                 ,ORGANIC CHEMISTRY W/SAPLING PLUS LL    ,Author: VOLLHARDT     ,Edition: ,Published Date: NA,ISBN: 9781319195854
17,16.0,Term: Winter 18 | ,Name: CHE        118A            | ,Section: ALL B             | ,Instructor: SCHORE | ,Course ID:                 | ,Optional                 ,POLYHEDRON MOLECULAR...CHEM.BASIC SET  ,Author: FREEMAN       ,Edition: 02     ,Published Date: 2002,ISBN: 9781319120528
18,17.0,Term: Winter 18 | ,Name: CHE        118B            | ,Section: ALL A             | ,"Instructor: FILLOUX, C | ",Course ID:                 | ,Required                 ,CHE 118B LAB MANUAL W17                ,Author: CHEMISTRY     ,Edition: ,Published Date: NA,ISBN: 000000000000 
19,18.0,Term: Winter 18 | ,Name: CHE        118B            | ,Section: ALL A             | ,"Instructor: FILLOUX, C | ",Course ID:                 | ,Optional                 ,POLYHEDRON MOLECULAR...CHEM.BASIC SET  ,Author: FREEMAN       ,Edition: 02     ,Published Date: 2002,ISBN: 9781319120528
20,19.0,Term: Winter 18 | ,Name: CHE        118B            | ,Section: ALL B             | ,Instructor: MELEKEH NASIRI | ,Course ID:                 | ,Required                 ,CHE 118B LAB MANUAL W17                ,Author: CHEMISTRY     ,Edition: ,Published Date: NA,ISBN: 000000000000 
21,20.0,Term: Winter 18 | ,Name: CHE        118B            | ,Section: ALL B             | ,Instructor: MELEKEH NASIRI | ,Course ID:                 | ,Optional                 ,POLYHEDRON MOLECULAR...CHEM.BASIC SET  ,Author: FREEMAN       ,Edition: 02     ,Published Date: 2002,ISBN: 9781319120528
22,21.0,Term: Winter 18 | ,Name: CHE        124A            | ,Section: ALL               | ,Instructor: TBD | ,Course ID:                 | ,Required                 ,INORGANIC CHEMISTRY CUSTOM EDITION     ,Author: HOUSECROFT    ,Edition: ,Published Date: NA,ISBN: 9781323456941
